,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
162,Coast,Ramey,PR,2010 (All Illegal Immigrants),398.0,2010 ,All Illegal Immigrants
163,North,Blaine,"WA, OR",2010 (All Illegal Immigrants),673.0,2010 ,All Illegal Immigrants
164,North,Buffalo,"NY, PA",2010 (All Illegal Immigrants),2422.0,2010 ,All Illegal Immigrants
165,North,Detroit,"OH, MI, IN, IL",2010 (All Illegal Immigrants),1669.0,2010 ,All Illegal Immigrants
166,North,Grand Forks,"WI, MN, ND",2010 (All Illegal Immigrants),543.0,2010 ,All Illegal Immigrants
167,North,Havre,MT,2010 (All Illegal Immigrants),290.0,2010 ,All Illegal Immigrants
168,North,Houlton,ME,2010 (All Illegal Immigrants),56.0,2010 ,All Illegal Immigrants
169,North,Spokane,"MT, ID, WA",2010 (All Illegal Immigrants),356.0,2010 ,All Illegal Immigrants
170,North,Swanton,"NH, VT, NY",2010 (All Illegal Immigrants),1422.0,2010 ,All Illegal Immigrants
171,Southwest,Big Bend,TX,2010 (All Illegal Immigrants),5288.0,2010 ,All Illegal Immigrants
172,Southwest,Del Rio,TX,2010 (All Illegal Immigrants),14694.0,2010 ,All Illegal Immigrants
173,Southwest,El Centro,CA,2010 (All Illegal Immigrants),32562.0,2010 ,All Illegal Immigrants
174,Southwest,El Paso,"NM, TX",2010 (All Illegal Immigrants),12251.0,2010 ,All Illegal Immigrants
175,Southwest,Laredo,TX,2010 (All Illegal Immigrants),35287.0,2010 ,All Illegal Immigrants
176,Southwest,Rio Grande Valley,TX,2010 (All Illegal Immigrants),59766.0,2010 ,All Illegal Immigrants
177,Southwest,San Diego,CA,2010 (All Illegal Immigrants),68565.0,2010 ,All Illegal Immigrants
178,Southwest,Tucson,AZ,2010 (All Illegal Immigrants),212202.0,2010 ,All Illegal Immigrants
179,Southwest,Yuma,"CA, AZ",2010 (All Illegal Immigrants),7116.0,2010 ,All Illegal Immigrants
